Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
North York,43.718518,-79.46476329999999,Seoul House,43.71990210821056,-79.4578317328269,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Miss Korea,43.66894989012165,-79.38616491615092,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Bapbo,43.65553601067675,-79.38496978837556,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Korean Grill House,43.669352326300796,-79.38638726660214,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Kimchi Korea House,43.655392068371754,-79.38541213481933,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Seoulicious,43.665304,-79.384902,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,OJA Restaurant,43.6689434910527,-79.38624132580058,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,KOKO Share Bar,43.671033938155546,-79.39145701257964,Asian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Etsu,43.65596995372576,-79.39376142246397,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Wabar,43.667577143748204,-79.38531462279731,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
Downtown Toronto,43.6623015,-79.3894938,James Cheese Back Ribs,43.65698248120175,-79.39937706745911,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Mo'Ramyun,43.656147579200834,-79.39228230349781,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Sushi & bbbop,43.6590924310851,-79.3827887824243,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,K-Wok,43.667835,-79.38599,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Hana Korea,43.65594950005317,-79.39374106568063,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Kobi,43.668426000000004,-79.386284,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Varsity Deli,43.664331453624065,-79.4005005807838,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Epicure City BOM Bibimbap,43.65524687645687,-79.38676951809875,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Kinton Ramen,43.65579361535061,-79.3940472390902,Ramen Restaurant
Downtown Toronto,43.6623015,-79.3894938,Clubhouse Cafe,43.670544,-79.389638,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Metropolis Cafe,43.67059136676369,-79.38920850191734,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,H Mart,43.65756619799771,-79.3815375088334,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,The Bowl Korean Food,43.653371,-79.390997,Korean Restaurant
Downtown Toronto,43.6623015,-79.3894938,the Fry (The Fry),43.66432338874849,-79.38438537921216,Fried Chicken Joint
Downtown Toronto,43.6623015,-79.3894938,McDonald's,43.65374431451721,-79.39091545774444,Fast Food Restaurant
North York,43.7459058,-79.352188,Yummy BBQ,43.74827,-79.34858,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Bapbo,43.65553601067675,-79.38496978837556,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Gyu-Kaku Japanese BBQ,43.65142227549792,-79.37504693687086,Japanese Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Bob's Bulgogi,43.65190800954796,-79.3775230056258,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Kimchi Korea House,43.655392068371754,-79.38541213481933,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,H Mart,43.65756619799771,-79.3815375088334,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Sushi & bbbop,43.6590924310851,-79.3827887824243,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Koryo Korean Barbeque,43.654438,-79.38069899999998,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Epicure City BOM Bibimbap,43.65524687645687,-79.38676951809875,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,Bibab Express,43.650442786309945,-79.38335749932767,Korean Restaurant
Downtown Toronto,43.6571618,-79.37893709999999,the Fry (The Fry),43.66432338874849,-79.38438537921216,Fried Chicken Joint
Downtown Toronto,43.6514939,-79.3754179,Gyu-Kaku Japanese BBQ,43.65142227549792,-79.37504693687086,Japanese Restaurant
Downtown Toronto,43.6514939,-79.3754179,Bob's Bulgogi,43.65190800954796,-79.3775230056258,Korean Restaurant
Downtown Toronto,43.6514939,-79.3754179,Bapbo,43.65553601067675,-79.38496978837556,Korean Restaurant
Downtown Toronto,43.6514939,-79.3754179,Kimchi Korea House,43.655392068371754,-79.38541213481933,Korean Restaurant
Downtown Toronto,43.6514939,-79.3754179,Ho Ga Oriental Cuisine,43.64804326543633,-79.383108374673,Korean Restaurant
Downtown Toronto,43.6514939,-79.3754179,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
Downtown Toronto,43.6514939,-79.3754179,Sushi-Q,43.64773753191115,-79.37969913096781,Sushi Restaurant
Downtown Toronto,43.6514939,-79.3754179,Koryo Korean Barbeque,43.654438,-79.38069899999998,Korean Restaurant
Downtown Toronto,43.6514939,-79.3754179,Bibab Express,43.650442786309945,-79.38335749932767,Korean Restaurant
Downtown Toronto,43.6514939,-79.3754179,iQ Food Co,43.64748168603232,-79.37910417362639,Fast Food Restaurant
Downtown Toronto,43.6514939,-79.3754179,H Mart,43.65756619799771,-79.3815375088334,Korean Restaurant
Downtown Toronto,43.6514939,-79.3754179,Teriyaki quik sushi,43.64845254569628,-79.37184637587276,Japanese Restaurant
Downtown Toronto,43.6514939,-79.3754179,Ho Shim,43.64823812201464,-79.38290974652757,Japanese Restaurant
York,43.6937813,-79.42819140000002,Bi Bim Bap,43.70035223811228,-79.42871533999566,Korean Restaurant
Downtown Toronto,43.6447708,-79.3733064,Gyu-Kaku Japanese BBQ,43.65142227549792,-79.37504693687086,Japanese Restaurant
Downtown Toronto,43.6447708,-79.3733064,Bob's Bulgogi,43.65190800954796,-79.3775230056258,Korean Restaurant
Downtown Toronto,43.6447708,-79.3733064,Ho Ga Oriental Cuisine,43.64804326543633,-79.383108374673,Korean Restaurant
Downtown Toronto,43.6447708,-79.3733064,Oyshi Sushi,43.64234005516476,-79.37585304260914,Sushi Restaurant
Downtown Toronto,43.6447708,-79.3733064,Sushi-Q,43.64773753191115,-79.37969913096781,Sushi Restaurant
Downtown Toronto,43.6447708,-79.3733064,iQ Food Co,43.64748168603232,-79.37910417362639,Fast Food Restaurant
Downtown Toronto,43.6447708,-79.3733064,Teriyaki quik sushi,43.64845254569628,-79.37184637587276,Japanese Restaurant
Downtown Toronto,43.6447708,-79.3733064,Ho Shim,43.64823812201464,-79.38290974652757,Japanese Restaurant
Scarborough,43.7709921,-79.21691740000001,Korean Grill House,43.770811729135396,-79.21450208834013,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Bapbo,43.65553601067675,-79.38496978837556,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Kimchi Korea House,43.655392068371754,-79.38541213481933,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Seor Ak San,43.65544570387313,-79.39906312458223,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Seoulicious,43.665304,-79.384902,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
Downtown Toronto,43.6579524,-79.3873826,Etsu,43.65596995372576,-79.39376142246397,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Ka Chi,43.65360303946789,-79.39501944436923,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Nak Won,43.65312366957159,-79.39696767945415,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Korean Grill House,43.65025968386691,-79.38924990371137,Korean Restaurant
Downtown Toronto,43.6579524,-79.3873826,Mo'Ramyun,43.656147579200834,-79.39228230349781,Korean Restaurant
