Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
North York,43.7532586,-79.3296565,Allwyn's Bakery,43.759840352031574,-79.32471879917513,Caribbean Restaurant
North York,43.7532586,-79.3296565,Tim Hortons,43.760668270302276,-79.32636763515987,Café
North York,43.7532586,-79.3296565,A&W,43.760643076161315,-79.3268649067081,Fast Food Restaurant
North York,43.7532586,-79.3296565,High Street Fish & Chips,43.74525988387222,-79.3249491573105,Fish & Chips Shop
North York,43.7532586,-79.3296565,Pizza Pizza,43.760230987017614,-79.32566642761229,Pizza Place
North York,43.7532586,-79.3296565,Spicy Chicken House,43.76063939666398,-79.3256706077173,Chinese Restaurant
North York,43.7258823,-79.31557159999998,Portugril,43.725818762672425,-79.31278541470671,Portuguese Restaurant
North York,43.7258823,-79.31557159999998,The Frig,43.72705130603407,-79.3174176090868,French Restaurant
North York,43.7258823,-79.31557159999998,Pizza Nova,43.7258237263522,-79.31286041792906,Pizza Place
North York,43.7258823,-79.31557159999998,JJ Bean,43.720228999999996,-79.31356099999999,Café
North York,43.7258823,-79.31557159999998,Cafe Bellevue,43.724201,-79.327285,Café
Downtown Toronto,43.6542599,-79.3606359,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
Downtown Toronto,43.6542599,-79.3606359,Morning Glory Cafe,43.6539469426353,-79.36114884214422,Breakfast Spot
Downtown Toronto,43.6542599,-79.3606359,Souk Tabule,43.65375556880743,-79.35439006096169,Mediterranean Restaurant
Downtown Toronto,43.6542599,-79.3606359,Figs Breakfast & Lunch,43.65567455427388,-79.36450328924941,Breakfast Spot
Downtown Toronto,43.6542599,-79.3606359,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347,Italian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
Downtown Toronto,43.6542599,-79.3606359,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
Downtown Toronto,43.6542599,-79.3606359,ODIN Cafe + Bar,43.65673854492805,-79.35650305267754,Café
Downtown Toronto,43.6542599,-79.3606359,Cocina Economica,43.65495889022676,-79.36565725073979,Mexican Restaurant
Downtown Toronto,43.6542599,-79.3606359,El Catrin,43.650600737117,-79.35892024942333,Mexican Restaurant
Downtown Toronto,43.6542599,-79.3606359,The Sweet Escape Patisserie,43.650632173026096,-79.35870913127346,Bakery
Downtown Toronto,43.6542599,-79.3606359,Caffe Furbo,43.64996988230381,-79.3588494638819,Café
Downtown Toronto,43.6542599,-79.3606359,Sukhothai,43.65844446553953,-79.36568085121628,Thai Restaurant
Downtown Toronto,43.6542599,-79.3606359,The Black Canary Espresso Bar,43.65186873300313,-79.36850642387674,Café
Downtown Toronto,43.6542599,-79.3606359,Fusaro's,43.653346798266185,-79.3695173175514,Italian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Souvlaki Express,43.65558391537734,-79.36443816909015,Greek Restaurant
Downtown Toronto,43.6542599,-79.3606359,Izumi,43.649969793501604,-79.36015326451906,Asian Restaurant
Downtown Toronto,43.6542599,-79.3606359,FAMO Sandwiches,43.654064,-79.369515,Sandwich Place
Downtown Toronto,43.6542599,-79.3606359,The George Street Diner,43.65297,-79.37146700000001,Diner
Downtown Toronto,43.6542599,-79.3606359,Schnitzel Queen,43.65423906004429,-79.37053284604036,German Restaurant
Downtown Toronto,43.6542599,-79.3606359,White Lily Diner,43.65867460038718,-79.35107379221633,Diner
Downtown Toronto,43.6542599,-79.3606359,Berkeley Bistro,43.64995993956305,-79.36388845370516,Gastropub
Downtown Toronto,43.6542599,-79.3606359,Wildly Delicious Cafe,43.650435878321964,-79.35886151813071,Café
Downtown Toronto,43.6542599,-79.3606359,The Poet Cafe,43.650636830720224,-79.37127573699792,Café
Downtown Toronto,43.6542599,-79.3606359,Mystic Muffin,43.652483550499326,-79.37265472845176,Middle Eastern Restaurant
Downtown Toronto,43.6542599,-79.3606359,Le Petit Déjeuner,43.65082248620031,-79.37043860004992,Breakfast Spot
Downtown Toronto,43.6542599,-79.3606359,Cluck Clucks,43.64964842651325,-79.3664078057654,Restaurant
Downtown Toronto,43.6542599,-79.3606359,Bellisimo Pizzeria & Ristorante,43.648748,-79.368684,Pizza Place
Downtown Toronto,43.6542599,-79.3606359,Buster's Sea Cove Truck,43.653646653079434,-79.35787780917855,Food Truck
Downtown Toronto,43.6542599,-79.3606359,Archeo,43.65066723014277,-79.35943064816142,Italian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Paintbox Bistro,43.66005047590362,-79.36285470971839,Restaurant
Downtown Toronto,43.6542599,-79.3606359,Madrina Bar y Tapas,43.649674618787785,-79.35958990739668,Spanish Restaurant
Downtown Toronto,43.6542599,-79.3606359,Miyaki Sushi,43.649497206034745,-79.36617767045686,Sushi Restaurant
Downtown Toronto,43.6542599,-79.3606359,Sukhothai,43.653700903664294,-79.35444653590791,Thai Restaurant
Downtown Toronto,43.6542599,-79.3606359,Pure Spirits Oyster House & Grill,43.650408728757206,-79.35864768454414,Seafood Restaurant
Downtown Toronto,43.6542599,-79.3606359,Ardo,43.6512011278776,-79.36835027595798,Italian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Ontario Restaurant,43.65888321199789,-79.36836906142995,Diner
Downtown Toronto,43.6542599,-79.3606359,Prohibition Gastrohouse,43.658813485161765,-79.35032270812796,Gastropub
Downtown Toronto,43.6542599,-79.3606359,True True Diner,43.650590451612075,-79.37146736526827,Diner
Downtown Toronto,43.6542599,-79.3606359,Qi sushi,43.662551807626976,-79.36425843422569,Sushi Restaurant
Downtown Toronto,43.6542599,-79.3606359,Bolet's Burrito,43.649949716685505,-79.36757817556989,Burrito Place
Downtown Toronto,43.6542599,-79.3606359,Subway,43.65570120830647,-79.36464396270765,Sandwich Place
Downtown Toronto,43.6542599,-79.3606359,Bombay Palace,43.65117354457489,-79.37213984452025,Indian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Sushi Bar,43.65879825022111,-79.35008516753265,Sushi Restaurant
Downtown Toronto,43.6542599,-79.3606359,FuZen,43.65009940227518,-79.36937700944232,Sushi Restaurant
Downtown Toronto,43.6542599,-79.3606359,King's Place647-352-0786,43.658278219451866,-79.37092509166455,Pakistani Restaurant
Downtown Toronto,43.6542599,-79.3606359,The Chefs' House,43.650927096129315,-79.36939064618409,Restaurant
Downtown Toronto,43.6542599,-79.3606359,Sultan Of Samosas,43.660227497874445,-79.36622571571063,Indian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Mengrai Gourmet Thai,43.654102,-79.3668,Thai Restaurant
Downtown Toronto,43.6542599,-79.3606359,Gabby's Eatery & Taps,43.650767923258826,-79.37048856933147,Burger Joint
Downtown Toronto,43.6542599,-79.3606359,Sakura Ichiban Japanese Cuisine,43.651624139281495,-79.37246371370311,Japanese Restaurant
Downtown Toronto,43.6542599,-79.3606359,Wendy's,43.660403362711776,-79.36062902212149,Fast Food Restaurant
Downtown Toronto,43.6542599,-79.3606359,South St. Burger,43.651579049490756,-79.36730306874466,Burger Joint
Downtown Toronto,43.6542599,-79.3606359,Patrician Grill,43.6510326258935,-79.36917383160622,Diner
Downtown Toronto,43.6542599,-79.3606359,Popeyes Louisiana Kitchen,43.649871999999995,-79.370779,Fried Chicken Joint
Downtown Toronto,43.6542599,-79.3606359,Subway,43.65132340805124,-79.37064170837401,Sandwich Place
Downtown Toronto,43.6542599,-79.3606359,Pita Land,43.651562234032546,-79.36738386186788,Falafel Restaurant
Downtown Toronto,43.6542599,-79.3606359,Subway,43.650235282002036,-79.36958067609214,Sandwich Place
Downtown Toronto,43.6542599,-79.3606359,Nari Sushi,43.65138479772118,-79.36779047608137,Sushi Restaurant
Downtown Toronto,43.6542599,-79.3606359,Subway,43.653745313198215,-79.36901872702471,Sandwich Place
Downtown Toronto,43.6542599,-79.3606359,Oriental Taste,43.655304,-79.365312,Chinese Restaurant
Downtown Toronto,43.6542599,-79.3606359,Freshii,43.65121,-79.364465,Salad Place
Downtown Toronto,43.6542599,-79.3606359,BOKU,43.65001483887497,-79.36024123514828,Japanese Restaurant
Downtown Toronto,43.6542599,-79.3606359,Pizza Pizza,43.658654417602776,-79.35095548089345,Pizza Place
Downtown Toronto,43.6542599,-79.3606359,Ibiza Patio,43.650194,-79.358407,Mediterranean Restaurant
Downtown Toronto,43.6542599,-79.3606359,The Cannery - Bldg 58,43.6499524,-79.359086,Restaurant
Downtown Toronto,43.6542599,-79.3606359,Petite Thuet,43.6514128406145,-79.36771577837966,Bakery
Downtown Toronto,43.6542599,-79.3606359,Mom and Pops,43.64998041298233,-79.36388254165651,Restaurant
Downtown Toronto,43.6542599,-79.3606359,Aroma Espresso Bar,43.651582321122596,-79.36722966397437,Café
Downtown Toronto,43.6542599,-79.3606359,St. Lawrence Cafe,43.649659696690044,-79.36444494070265,Café
Downtown Toronto,43.6542599,-79.3606359,Pizzaiolo,43.65893143563021,-79.35025686526703,Pizza Place
Downtown Toronto,43.6542599,-79.3606359,Il Ponte Cucina Italiana,43.657851644106024,-79.35296058654784,Italian Restaurant
Downtown Toronto,43.6542599,-79.3606359,Blackbird Baking Co,43.658239,-79.352632,Bakery
Downtown Toronto,43.6542599,-79.3606359,Mary Macleod's Shortbread,43.65837486847214,-79.35255249232917,Bakery
Downtown Toronto,43.6542599,-79.3606359,True Love Cafe,43.658143503267574,-79.37010866878994,Café
Downtown Toronto,43.6542599,-79.3606359,Enat Buna,43.65392,-79.37156999999999,Ethiopian Restaurant
Downtown Toronto,43.6542599,-79.3606359,George's BBQ,43.658031791930895,-79.37031746857383,BBQ Joint
Downtown Toronto,43.6542599,-79.3606359,Le Rosignol,43.65871930651043,-79.35079923269052,Restaurant
Downtown Toronto,43.6542599,-79.3606359,BQM Burger,43.658566,-79.350645,Burger Joint
Downtown Toronto,43.6542599,-79.3606359,Pho U,43.661734,-79.367086,Vietnamese Restaurant
Downtown Toronto,43.6542599,-79.3606359,The Civic,43.658901,-79.349988,Restaurant
North York,43.718518,-79.46476329999999,Lac Vien Vietnamese Restaurant,43.72125878799614,-79.46847226859448,Vietnamese Restaurant
North York,43.718518,-79.46476329999999,Krystos,43.71851626753136,-79.45585522412502,Greek Restaurant
North York,43.718518,-79.46476329999999,Mary Brown's Famous Chicken,43.718308604174425,-79.45570632677568,Fried Chicken Joint
North York,43.718518,-79.46476329999999,The Burger's Priest,43.7207893797841,-79.45676631978056,Fast Food Restaurant
North York,43.718518,-79.46476329999999,Yuki Japanese Restaurant,43.72060971477955,-79.45611946822187,Sushi Restaurant
North York,43.718518,-79.46476329999999,Harvey's,43.71533697302975,-79.45539587874885,Restaurant
North York,43.718518,-79.46476329999999,Swiss Chalet,43.71722432853837,-79.4562227443487,Restaurant
North York,43.718518,-79.46476329999999,Popeyes Louisiana Kitchen,43.72247710118178,-79.45647214024791,Fried Chicken Joint
North York,43.718518,-79.46476329999999,Tora Aburi Sushi,43.724257,-79.455383,Sushi Restaurant
North York,43.718518,-79.46476329999999,Red Lobster,43.718952,-79.456245,Seafood Restaurant
North York,43.718518,-79.46476329999999,Burger King,43.71420964667736,-79.45639595389365,Fast Food Restaurant
North York,43.718518,-79.46476329999999,Viet House,43.71832569840717,-79.45737310259787,Vietnamese Restaurant
North York,43.718518,-79.46476329999999,Shoeless Joe's,43.71862536,-79.45599258,Restaurant
North York,43.718518,-79.46476329999999,Subway,43.71646929743054,-79.45489790603291,Sandwich Place
North York,43.718518,-79.46476329999999,Seoul House,43.71990210821056,-79.4578317328269,Korean Restaurant
North York,43.718518,-79.46476329999999,Wendy's,43.712991430875434,-79.46135383914225,Fast Food Restaurant
North York,43.718518,-79.46476329999999,Orfus Wrap & Grill,43.719677000000004,-79.45736,Mediterranean Restaurant
North York,43.718518,-79.46476329999999,The Green Umbrella Cafe,43.71359501278733,-79.46080520058662,Café
North York,43.718518,-79.46476329999999,Fisherman's Fish & Chips,43.72126351236251,-79.45591565829834,Seafood Restaurant
North York,43.718518,-79.46476329999999,Ristorante Boccaccio,43.71319386793683,-79.45636616633782,Italian Restaurant
North York,43.718518,-79.46476329999999,McDonald's,43.71558363175641,-79.45438830972581,Fast Food Restaurant
Downtown Toronto,43.6623015,-79.3894938,Nando's,43.66172826,-79.38639146,Portuguese Restaurant
Downtown Toronto,43.6623015,-79.3894938,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Como En Casa,43.66516,-79.384796,Mexican Restaurant
Downtown Toronto,43.6623015,-79.3894938,T-Swirl Crepe,43.663452,-79.384125,Creperie
Downtown Toronto,43.6623015,-79.3894938,Tokyo Sushi,43.66588533093685,-79.38697684868161,Sushi Restaurant
Downtown Toronto,43.6623015,-79.3894938,Wickson Social,43.665904507759684,-79.38571974166426,Gastropub
Downtown Toronto,43.6623015,-79.3894938,Burrito Bandidos,43.662962178169344,-79.38395554190545,Burrito Place
Downtown Toronto,43.6623015,-79.3894938,Sansotei Ramen 三草亭,43.66673479451701,-79.3853530009483,Ramen Restaurant
Downtown Toronto,43.6623015,-79.3894938,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
Downtown Toronto,43.6623015,-79.3894938,Coach House Restaurant,43.664990598532036,-79.38481415727767,Diner
Downtown Toronto,43.6623015,-79.3894938,Hero Certified Burgers,43.66506305816304,-79.38729454806868,Burger Joint
Downtown Toronto,43.6623015,-79.3894938,Tabriz Persian Cookhouse,43.66533,-79.387484,Persian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Tokyo Grill,43.665085238149395,-79.38470692554789,Japanese Restaurant
Downtown Toronto,43.6623015,-79.3894938,Somethin' 2 Talk About,43.65839479027969,-79.38533765920816,Middle Eastern Restaurant
Downtown Toronto,43.6623015,-79.3894938,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
Downtown Toronto,43.6623015,-79.3894938,Vegetarian Haven,43.656016028357094,-79.39275777420029,Vegetarian / Vegan Restaurant
Downtown Toronto,43.6623015,-79.3894938,Panago,43.65825817735338,-79.38431282558369,Pizza Place
Downtown Toronto,43.6623015,-79.3894938,Storm Crow Manor,43.666839856950226,-79.38159278029705,Theme Restaurant
Downtown Toronto,43.6623015,-79.3894938,North of Brooklyn Pizzeria,43.664383604568975,-79.38037571983865,Pizza Place
Downtown Toronto,43.6623015,-79.3894938,The Elm Tree Restaurant,43.65739749535259,-79.38376054171512,Modern European Restaurant
Downtown Toronto,43.6623015,-79.3894938,Lebanon Express,43.66099058425058,-79.38297576948105,Falafel Restaurant
Downtown Toronto,43.6623015,-79.3894938,Ethiopian House,43.666598704396804,-79.38566906742606,Ethiopian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Kothur Indian Cuisine,43.667872295582065,-79.38565911153148,Indian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Hair Of The Dog,43.66282779855822,-79.37966975971743,Gastropub
Downtown Toronto,43.6623015,-79.3894938,Jimmy's Coffee,43.655827103222244,-79.39204216888555,Café
Downtown Toronto,43.6623015,-79.3894938,Sushi Box,43.66295954544153,-79.38657996066199,Sushi Restaurant
Downtown Toronto,43.6623015,-79.3894938,Aroma Espresso Bar,43.66796263749082,-79.38887274197582,Café
Downtown Toronto,43.6623015,-79.3894938,St. Louis Bar and Grill,43.66385323730235,-79.38418742909323,Wings Joint
Downtown Toronto,43.6623015,-79.3894938,Sushi Garden,43.66485840073255,-79.38494112880177,Sushi Restaurant
Downtown Toronto,43.6623015,-79.3894938,Fabarnak,43.66637677585409,-79.38096396850409,Restaurant
Downtown Toronto,43.6623015,-79.3894938,Holy Chuck,43.66524054342597,-79.38472816592301,Burger Joint
Downtown Toronto,43.6623015,-79.3894938,Smith,43.66692666745884,-79.38142135954267,Breakfast Spot
Downtown Toronto,43.6623015,-79.3894938,Hangry Burger,43.660709996948185,-79.38283826775837,Burger Joint
Downtown Toronto,43.6623015,-79.3894938,Wow! Sushi,43.668514,-79.386686,Sushi Restaurant
Downtown Toronto,43.6623015,-79.3894938,Kinka Izakaya Original,43.66059636632362,-79.37889120754515,Japanese Restaurant
Downtown Toronto,43.6623015,-79.3894938,Pi Co.,43.670107,-79.389852,Pizza Place
Downtown Toronto,43.6623015,-79.3894938,Wendy's,43.662820073147046,-79.38337917323223,Fast Food Restaurant
Downtown Toronto,43.6623015,-79.3894938,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
Downtown Toronto,43.6623015,-79.3894938,Wish,43.66875926600152,-79.38569365317709,Restaurant
Downtown Toronto,43.6623015,-79.3894938,The Captain's Boil,43.6623749149796,-79.38353475807129,Seafood Restaurant
Downtown Toronto,43.6623015,-79.3894938,Darvish,43.66340728021761,-79.38392863889676,Middle Eastern Restaurant
Downtown Toronto,43.6623015,-79.3894938,Paramount Fine Foods,43.67067671443592,-79.38986486034777,Middle Eastern Restaurant
Downtown Toronto,43.6623015,-79.3894938,Prenup Pub,43.65888236643816,-79.39482802742829,Gastropub
Downtown Toronto,43.6623015,-79.3894938,Hero Certified Burgers,43.665624030299774,-79.38090430769088,Burger Joint
Downtown Toronto,43.6623015,-79.3894938,Si Lom,43.66501007731949,-79.38068288199048,Thai Restaurant
Downtown Toronto,43.6623015,-79.3894938,Red Lobster,43.656328,-79.38362099999999,Seafood Restaurant
Downtown Toronto,43.6623015,-79.3894938,Crown Princess Fine Dining 伯爵名宴,43.666454929411174,-79.38769789187712,Chinese Restaurant
Downtown Toronto,43.6623015,-79.3894938,Barberian's Steak House,43.657755129259264,-79.38217741375935,Steakhouse
Downtown Toronto,43.6623015,-79.3894938,Kinton Ramen,43.66063169500672,-79.37887964897601,Ramen Restaurant
Downtown Toronto,43.6623015,-79.3894938,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
Downtown Toronto,43.6623015,-79.3894938,Trattoria Nervosa,43.67101871082308,-79.39108133032904,Italian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Dal Moro's Fresh Pasta To Go,43.66664070494267,-79.38540023837237,Italian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Sabai Sabai,43.67064720546647,-79.38485656424602,Thai Restaurant
Downtown Toronto,43.6623015,-79.3894938,Karine's,43.653698928318526,-79.39074313568692,Breakfast Spot
Downtown Toronto,43.6623015,-79.3894938,Sansotei Ramen 三草亭,43.65515746756125,-79.38650067479335,Ramen Restaurant
Downtown Toronto,43.6623015,-79.3894938,KAKA,43.65745745164475,-79.38419169987877,Japanese Restaurant
Downtown Toronto,43.6623015,-79.3894938,Museum Tavern,43.668389856295185,-79.39572983994209,Restaurant
Downtown Toronto,43.6623015,-79.3894938,Blaze Pizza,43.656518,-79.380015,Pizza Place
Downtown Toronto,43.6623015,-79.3894938,Kawa Sushi,43.66389438938989,-79.38021009464504,Japanese Restaurant
Downtown Toronto,43.6623015,-79.3894938,Colaba Junction,43.660940000000004,-79.385635,Indian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Five Guys,43.657106353057614,-79.38130606340378,Burger Joint
Downtown Toronto,43.6623015,-79.3894938,Planta Yorkville,43.670213457162674,-79.38951245082394,Vegetarian / Vegan Restaurant
Downtown Toronto,43.6623015,-79.3894938,Yamato Japanese Restaurant,43.670683304319134,-79.39105580388929,Japanese Restaurant
Downtown Toronto,43.6623015,-79.3894938,Rolltation,43.654917918573005,-79.3874242454196,Japanese Restaurant
Downtown Toronto,43.6623015,-79.3894938,Manpuku まんぷく,43.653612411792935,-79.39061276446213,Japanese Restaurant
Downtown Toronto,43.6623015,-79.3894938,McCafé,43.658070615272464,-79.39910630807495,Café
Downtown Toronto,43.6623015,-79.3894938,Fran's,43.66125532013864,-79.38389304122866,Diner
Downtown Toronto,43.6623015,-79.3894938,Koh Lipe,43.655933000000005,-79.39348000000001,Thai Restaurant
Downtown Toronto,43.6623015,-79.3894938,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
Downtown Toronto,43.6623015,-79.3894938,JOEY Eaton Centre,43.65540379999999,-79.38192889999998,Restaurant
Downtown Toronto,43.6623015,-79.3894938,Cafe Plenty,43.65457125894357,-79.38944976536852,Café
Downtown Toronto,43.6623015,-79.3894938,Provo Food Bar,43.654293123974384,-79.39178769369552,Tapas Restaurant
Downtown Toronto,43.6623015,-79.3894938,Ritz Caribbean Food,43.66954527049821,-79.38650615702159,Caribbean Restaurant
Downtown Toronto,43.6623015,-79.3894938,Sambuca Grill,43.656109861046346,-79.3929464472413,Italian Restaurant
Downtown Toronto,43.6623015,-79.3894938,Holt's Cafe,43.669889132427556,-79.38842994004857,Sandwich Place
Downtown Toronto,43.6623015,-79.3894938,Chabrol,43.67108129272544,-79.3917956770127,French Restaurant
Downtown Toronto,43.6623015,-79.3894938,Golden Diner,43.66234167901005,-79.37743376144903,Diner
Downtown Toronto,43.6623015,-79.3894938,7 West Cafe,43.66866503275271,-79.38682953936423,Café
Downtown Toronto,43.6623015,-79.3894938,Poke Guys,43.65489527525683,-79.38505238381623,Poke Place
Downtown Toronto,43.6623015,-79.3894938,The Oxley Public House,43.67053669383452,-79.39297659985371,Gastropub
Downtown Toronto,43.6623015,-79.3894938,Naan & Kabob,43.66900468266943,-79.38621916870052,Afghan Restaurant
Downtown Toronto,43.6623015,-79.3894938,Yueh Tung Chinese Restaurant,43.6552812634292,-79.3853365267765,Chinese Restaurant
Downtown Toronto,43.6623015,-79.3894938,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
Downtown Toronto,43.6623015,-79.3894938,Sandwich Box,43.670122968853676,-79.38954952593123,Sandwich Place
Downtown Toronto,43.6623015,-79.3894938,Okonomi House お好みハウス,43.66844763699195,-79.38688420443032,Japanese Restaurant
Downtown Toronto,43.6623015,-79.3894938,New Yorker Deli,43.668532826917705,-79.38895475340925,Deli / Bodega
