Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
North York,43.7532586,-79.3296565,Allwyn's Bakery,43.75984035203157,-79.32471879917513,Caribbean Restaurant
North York,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
North York,43.7532586,-79.3296565,Tim Hortons,43.76066827030228,-79.32636763515987,Café
North York,43.7532586,-79.3296565,A&W,43.760643076161315,-79.3268649067081,Fast Food Restaurant
North York,43.7532586,-79.3296565,Bruno's valu-mart,43.746143,-79.32463,Grocery Store
North York,43.7532586,-79.3296565,High Street Fish & Chips,43.74525988387223,-79.3249491573105,Fish & Chips Shop
North York,43.7532586,-79.3296565,Food Basics,43.76086487186778,-79.326015195595,Supermarket
North York,43.7532586,-79.3296565,Shoppers Drug Mart,43.745315,-79.3258,Pharmacy
North York,43.7532586,-79.3296565,Shoppers Drug Mart,43.76085733239677,-79.32496051573521,Pharmacy
North York,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
North York,43.7532586,-79.3296565,Pizza Pizza,43.76023098701761,-79.32566642761229,Pizza Place
North York,43.7532586,-79.3296565,DVP at York Mills,43.758898765048286,-79.3340989154166,Road
North York,43.7532586,-79.3296565,TTC Stop #09083,43.75965484896959,-79.33222296778834,Bus Stop
North York,43.7532586,-79.3296565,TTC Stop 9083,43.7592505419922,-79.33399989273362,Bus Stop
North York,43.7532586,-79.3296565,Sandover Park,43.76027747979718,-79.33330535888672,Park
North York,43.7532586,-79.3296565,TTC Stop #9075,43.75759633714484,-79.33815479278564,Train Station
North York,43.7532586,-79.3296565,Dollarama,43.760341,-79.325519,Discount Store
North York,43.7532586,-79.3296565,Parkwoods Coin Laundry,43.76038596280906,-79.32489395141602,Laundry Service
North York,43.7532586,-79.3296565,Spicy Chicken House,43.76063939666398,-79.32567060771729,Chinese Restaurant
North York,43.7532586,-79.3296565,La Notre,43.76070416249771,-79.32539551954271,Coffee Shop
North York,43.7532586,-79.3296565,Underhill Mini Mart Convenience,43.74583602808115,-79.32483508046442,Convenience Store
North York,43.7532586,-79.3296565,Parkwoods Village Centre,43.760735,-79.324873,Shopping Mall
North York,43.7532586,-79.3296565,Family Food Fair Convenience,43.760619989690674,-79.32445934492416,Convenience Store
North York,43.7532586,-79.3296565,Broadlands Skating Rink,43.74668925352585,-79.3226776047074,Skating Rink
North York,43.7532586,-79.3296565,Parkway Valley Tennis Club,43.754481101445634,-79.31828498840332,Tennis Court
North York,43.7532586,-79.3296565,Broadlands Park,43.74674606903112,-79.32250154263845,Park
North York,43.7532586,-79.3296565,Nail Princess,43.74538936918936,-79.32561559014736,Cosmetics Shop
North York,43.7532586,-79.3296565,Donwood Variety,43.745500799115305,-79.32492236598165,Shop & Service
North York,43.7532586,-79.3296565,Donwood Plaza,43.7453692118077,-79.3254347372363,Shopping Mall
